stribID,NameInRealtorsData,GEOID,FullName,CityName,ZillowName,COUNTY,STATE,subdiv_geoid,subdiv_full_name,multiplecounties,location,County13,type,neighborhoodname
1,Andover,16000US2701486,"Andover, MN",Andover,Andover,Anoka,MN,06000US2700301486,"Andover city, Anoka County, MN",,outer suburbs,y,city,
2,Ramsey,16000US2753026,"Ramsey, MN",Ramsey,Ramsey,Anoka,MN,06000US2700353026,"Ramsey city, Anoka County, MN",,outer suburbs,y,city,
3,Oak Grove,16000US2747690,"Oak Grove, MN",Oak Grove,,Anoka,MN,06000US2700347690,"Oak Grove city, Anoka County, MN",,outer suburbs,y,city,
4,Nowthen,16000US2747536,"Nowthen, MN",Nowthen,,Anoka,MN,06000US2700347536,"Nowthen city, Anoka County, MN",,outer suburbs,y,city,
5,Lino Lakes,16000US2737322,"Lino Lakes, MN",Lino Lakes,Lino Lakes,Anoka,MN,06000US2700337322,"Lino Lakes city, Anoka County, MN",,outer suburbs,y,city,
6,Lexington,16000US2736836,"Lexington, MN",Lexington,,Anoka,MN,06000US2700336836,"Lexington city, Anoka County, MN",,outer suburbs,y,city,
7,Hilltop,16000US2729258,"Hilltop, MN",Hilltop,,Anoka,MN,06000US2700329258,"Hilltop city, Anoka County, MN",,outer suburbs,y,city,
8,Ham Lake,16000US2726738,"Ham Lake, MN",Ham Lake,,Anoka,MN,06000US2700326738,"Ham Lake city, Anoka County, MN",,outer suburbs,y,city,
9,Fridley,16000US2722814,"Fridley, MN",Fridley,Fridley,Anoka,MN,06000US2700322814,"Fridley city, Anoka County, MN",,outer suburbs,y,city,
10,East Bethel,16000US2717486,"East Bethel, MN",East Bethel,East Bethel,Anoka,MN,06000US2700317486,"East Bethel city, Anoka County, MN",,outer suburbs,y,city,
11,Coon Rapids,16000US2713114,"Coon Rapids, MN",Coon Rapids,Coon Rapids,Anoka,MN,06000US2700313114,"Coon Rapids city, Anoka County, MN",,outer suburbs,y,city,
12,Columbus,16000US2712718,"Columbus, MN",Columbus,,Anoka,MN,06000US2700312718,"Columbus city, Anoka County, MN",,outer suburbs,y,city,
13,Columbia Heights,16000US2712700,"Columbia Heights, MN",Columbia Heights,Columbia Heights,Anoka,MN,06000US2700312700,"Columbia Heights city, Anoka County, MN",,inner suburbs,y,city,
14,Circle Pines,16000US2711494,"Circle Pines, MN",Circle Pines,,Anoka,MN,06000US2700311494,"Circle Pines city, Anoka County, MN",,outer suburbs,y,city,
15,Blaine,16000US2706382,"Blaine, MN",Blaine,Blaine,Anoka,MN,06000US2700306382,"Blaine city, Anoka County, MN",2,outer suburbs,y,city,
16,Anoka,16000US2701720,"Anoka, MN",Anoka,,Anoka,MN,06000US2700301720,"Anoka city, Anoka County, MN",,outer suburbs,y,city,
17,Wyoming,16000US2772022,"Wyoming, MN",Wyoming,Wyoming,"Anoka, Chisago",MN,06000US2702572022,"Wyoming city, Chisago County, MN",2,Exurbs,y,city,
18,Stacy,16000US2762320,"Stacy, MN",Stacy,Stacy,"Anoka, Chisago, Isanti",MN,06000US2702562320,"Stacy city, Chisago County, MN",,Exurbs,y,city,
19,Forest Lake,16000US2721770,"Forest Lake, MN",Forest Lake,Forest Lake,"Anoka, Chisago, Washington",MN,06000US2716321770,"Forest Lake city, Washington County, MN",3,Exurbs,y,city,
20,Saint Francis,16000US2756950,"St. Francis, MN",St. Francis,Saint Francis,"Anoka, Isanti",MN,06000US2700356950,"St. Francis city, Anoka County, MN",2,Exurbs,y,city,
